ï..,ABCGivenIDforGDGT,Experiment,Temp,RPM,pH,Replicate,GrowthCurves,RI,Rate,SacrificeOD,GDGT-0,GDGT-1,GDGT-2,GDGT-3,GDGT-3 iso,GDGT-4,GDGT-4 iso,GDGT-5,GDGT-5 iso,GDGT-6,GDGT-7,GDGT-8
6,NA,2,70,200,2.05,OD1,"list(1523629200, 1523649300, 1523667240, 1523689440, 1523709960, 1523727300, 1523744220, 1523778060, 1523802000, 1523834400, 1523878560, 1523914380, 1523964480, 1523979300) / list(0.013, 0.023, 0.047, 0.09, 0.071, 0.119, 0.14, 0.233, 0.339, 0.532, 0.568, 0.636, 0.739, 0.749)",3.32,0.07182339,0.749,150781.4678,662124.4009,2917784.902,2505011,941240,1015746,1805396,1464266,549868,865876.4625,5806.296799,0
7,NA,2,70,200,2.05,OD2,"list(1523629200, 1523649300, 1523667240, 1523689440, 1523709960, 1523727300, 1523744220, 1523778060, 1523802000, 1523834400, 1523878560, 1523914380, 1523964480, 1523979300) / list(0.016, 0.021, 0.042, 0.083, 0.068, 0.115, 0.133, 0.242, 0.356, 0.531, 0.588, 0.639, 0.724, 0.655)",3.32,0.067865716,0.655,172646.0882,750071.3388,3381807.806,2851963,1068550,1068428,2099782,1545139,598857,886325.8865,5167.544411,0
8,NA,2,70,200,2.05,OD3,"list(1523629200, 1523649300, 1523667240, 1523689440, 1523709960, 1523727300, 1523744220, 1523778060, 1523802000, 1523834400, 1523878560, 1523914380, 1523964480, 1523979300) / list(0.013, 0.021, 0.043, 0.086, 0.067, 0.113, 0.132, 0.235, 0.342, 0.501, 0.585, 0.637, 0.736, 0.691)",3.31,0.071389101,0.691,273572.0737,1139970.409,4492237.878,3665824,1314788,1590691,2629524,2146968,745855,1196914.424,7685.338085,0
9,NA,2,70,200,2.05,OD4,"list(1523629200, 1523649300, 1523667240, 1523689440, 1523709960, 1523727300, 1523744220, 1523778060, 1523802000, 1523834400, 1523878560, 1523914380, 1523964480, 1523979300) / list(0.014, 0.023, 0.043, 0.076, 0.0059, 0.114, 0.138, 0.243, 0.342, 0.507, 0.614, 0.638, 0.727, 0.72)",3.47,0.075884141,0.72,186127.2209,790974.7702,3501714.829,3276606,1060588,1505103,2456473,2262575,682912,1273597.427,9012.718054,0
10,NA,2,70,200,2.05,OD5,"list(1523629200, 1523649300, 1523667240, 1523689440, 1523709960, 1523727300, 1523744220, 1523778060, 1523802000, 1523834400, 1523878560, 1523914380, 1523964480, 1523979300) / list(0.01, 0.019, 0.041, 0.082, 0.068, 0.119, 0.144, 0.259, 0.373, 0.552, 0.614, 0.646, 0.746, 0.722)",3.35,0.080750132,0.722,21778.56201,97821.08272,471746.7272,405751,137328,171763,273072,237637,80514,125443.2307,769.2403469,0
35,30,8,70,50,3,OD1,"list(1505648282, 1505676614, 1505696120, 1505723820, 1505753885, 1505783771, 1505807840, 1505839799, 1505869165, 1505898027, 1505926033, 1505953308, 1505984308, 1506012673, 1506100200, 1506163080) / list(0.0014, 0.0164, 0.0302, 0.0692, 0.1026, 0.111, 0.117, 0.1406, 0.1606, 0.3204, 0.2598, 0.3134, 0.3572, 0.4302, 0.5374, 0.6082)",2.619091638,0.086695589,0.6082,50049,179126,519053,364754,13406,208841,18599,20013,0,0,53,191
36,31,8,70,50,3,OD2,"list(1505648282, 1505676614, 1505696120, 1505723820, 1505753885, 1505783771, 1505807840, 1505839799, 1505869165, 1505898027, 1505926033, 1505953308, 1505984308, 1506012673, 1506100200, 1506163080) / list(0.0094, 0.024, 0.038, 0.085, 0.1522, 0.2104, 0.2686, 0.351, 0.4172, 0.489, 0.524, 0.5736, 0.6124, 0.6646, 0.704, 0.7278)",2.443705041,0.075346586,0.7278,266713,1113715,3599537,2984412,140479,2117016,183745,259665,0,13908,821,213
37,32,8,70,50,3,OD3,"list(1505648282, 1505676614, 1505696120, 1505723820, 1505753885, 1505783771, 1505807840, 1505839799, 1505869165, 1505898027, 1505926033, 1505953308, 1505984308, 1506012673, 1506100200, 1506163080) / list(0, 0.017, 0.0304, 0.0654, 0.117, 0.1406, 0.18, 0.2176, 0.2774, 0.3338, 0.3852, 0.4462, 0.4738, 0.5062, 0.5918, 0.6736)",2.394025109,0.055223232,0.6736,408141,1577082,4294189,2813542,100355,1922655,188866,223378,0,10755,521,1899
38,33,8,70,50,3,OD4,"list(1505648282, 1505676614, 1505696120, 1505723820, 1505753885, 1505783771, 1505807840, 1505839799, 1505869165, 1505898027, 1505926033, 1505953308, 1505984308, 1506012673, 1506100200, 1506163080) / list(-0.0016, 0.0184, 0.0296, 0.065, 0.1054, 0.1058, 0.1174, 0.162, 0.212, 0.2378, 0.2808, 0.3632, 0.4082, 0.441, 0.5526, 0.6724)",2.81980118,0.04502773,0.6724,224602,853091,2137036,1504624,63260,837657,93591,116548,0,603,42,1047
39,34,8,70,50,3,OD5,"list(1505648282, 1505676614, 1505696120, 1505723820, 1505753885, 1505783771, 1505807840, 1505839799, 1505869165, 1505898027, 1505926033, 1505953308, 1505984308, 1506012673, 1506100200, 1506163080) / list(-0.0056, 0.019, 0.028, 0.0666, 0.1096, 0.1364, 0.1584, 0.189, 0.228, 0.2582, 0.293, 0.3448, 0.3788, 0.4126, 0.5422, 0.5986)",2.420736469,0.051169621,0.5986,89825,401659,1381943,1209850,53874,1284819,105722,173966,0,893,44,94
40,42,9,70,125,3,OD1,"list(1507801200, 1507827540, 1507853580, 1507884779, 1507940700, 1507973220, 1508001487, 1508025840, 1508058180, 1508087280, 1508111700, 1508146920, 1508172652, 1508200542, 1508230260, 1508257920, 1508286720, 1508316869, 1508345360, 1508373086, 1508403132, 1508429026) / list(-8e-04, 0.035, 0.0372, 0.1014, 0.3976, 0.5842, 0.8002, 0.9404, 1.0852, 1.2058, 1.2484, 1.3012, 1.3888, 1.376, 1.4736, 1.4892, 1.4614, 1.5694, 1.522, 1.45, 1.456, 1.3644)",3.798669412,0.066395399,1.3644,60411,231204,1628475,3158359,0,6666578,342626,1428107,0,86803,613,561
41,43,9,70,125,3,OD2,"list(1507801200, 1507827540, 1507853580, 1507884779, 1507940700, 1507973220, 1508001487, 1508025840, 1508058180, 1508087280, 1508111700, 1508146920, 1508172652, 1508200542, 1508230260, 1508257920, 1508286720, 1508316869, 1508345360, 1508373086, 1508403132, 1508429026) / list(0.0038, 0.041, 0.0482, 0.1062, 0.3886, 0.588, 0.8948, 1.0814, 1.2306, 1.3156, 1.3772, 1.505, 1.607, 1.5932, 1.6508, 1.6194, 1.6136, 1.7598, 1.7342, 1.7244, 1.7248, 1.6664)",3.566795799,0.086100556,1.6664,76860,317709,2268554,4027040,0,8449098,456563,2620573,0,194418,719,104
42,44,9,70,125,3,OD3,"list(1507801200, 1507827540, 1507853580, 1507884779, 1507940700, 1507973220, 1508001487, 1508025840, 1508058180, 1508087280, 1508111700, 1508146920, 1508172652, 1508200542, 1508230260, 1508257920, 1508286720, 1508316869, 1508345360, 1508373086, 1508403132, 1508429026) / list(-0.0012, 0.0332, 0.0534, 0.1024, 0.359, 0.5416, 0.76, 0.8878, 1.0552, 1.1706, 1.2328, 1.3064, 1.3824, 1.3842, 1.467, 1.5088, 1.4744, 1.6296, 1.526, 1.442, 1.425, 1.3654)",3.620567834,0.062634047,1.3654,75203,302650,2143991,4236851,0,6725053,355018,1369127,0,83669,6333,81
43,45,9,70,125,3,OD4,"list(1507801200, 1507827540, 1507853580, 1507884779, 1507940700, 1507973220, 1508001487, 1508025840, 1508058180, 1508087280, 1508111700, 1508146920, 1508172652, 1508200542, 1508230260, 1508257920, 1508286720, 1508316869, 1508345360, 1508373086, 1508403132, 1508429026) / list(0.0026, 0.0282, 0.037, 0.097, 0.3532, 0.5136, 0.7886, 0.964, 1.1192, 1.2236, 1.2972, 1.3986, 1.5108, 1.5172, 1.659, 1.6298, 1.5806, 1.6788, 1.6168, 1.533, 1.5332, 1.4908)",3.452731715,0.091083158,1.4908,56329,233600,1869359,3320435,0,6939792,420650,1720491,0,114341,6161,155
44,46,9,70,125,3,OD5,"list(1507801200, 1507827540, 1507853580, 1507884779, 1507940700, 1507973220, 1508001487, 1508025840, 1508058180, 1508087280, 1508111700, 1508146920, 1508172652, 1508200542, 1508230260, 1508257920, 1508286720, 1508316869, 1508345360, 1508373086, 1508403132, 1508429026) / list(0.0064, 0.0234, 0.027, 0.07, 0.2372, 0.393, 0.5802, 0.7676, 0.9752, 1.119, 1.2014, 1.2954, 1.3694, 1.389, 1.525, 1.5572, 1.5954, 1.7172, 1.699, 1.6388, 1.6604, 1.6184)",3.578070599,0.078096051,1.6184,51005,233665,1735793,2856509,0,5522457,140384,972347,0,51797,256,53
15,36,4,65,200,3,OD1,"list(1507801380, 1507827900, 1507853700, 1507884972, 1507940820, 1507973340, 1508001633, 1508025960, 1508058300, 1508087340, 1508111880, 1508147040, 1508172954, 1508200687, 1508230440, 1508258040, 1508286840, 1508317043, 1508345558, 1508373234, 1508403318, 1508429167) / list(0.011, 0.0214, 0.0218, 0.0484, 0.1344, 0.2008, 0.337, 0.4338, 0.5308, 0.6698, 0.7574, 0.8726, 0.9982, 1.016, 1.0454, 1.0562, 1.0716, 1.1908, 1.2142, 1.2048, 1.2818, 1.2698)",3.615666576,0.056778166,1.2698,5001,20476,136170,312113,0,898780,0,68975,0,2183,188,11
16,37,4,65,200,3,OD2,"list(1507801380, 1507827900, 1507853700, 1507884972, 1507940820, 1507973340, 1508001633, 1508025960, 1508058300, 1508087340, 1508111880, 1508147040, 1508172954, 1508200687, 1508230440, 1508258040, 1508286840, 1508317043, 1508345558, 1508373234, 1508403318, 1508429167) / list(0.0038, 0.023, 0.0196, 0.049, 0.1238, 0.1812, 0.293, 0.388, 0.4858, 0.64, 0.7698, 0.9178, 1.0466, 1.0624, 1.0874, 1.0994, 1.1328, 1.2416, 1.2852, 1.3404, 1.4396, 1.51)",3.59004278,0.066060547,1.51,30833,157489,993809,2249076,0,7569097,0,1096321,0,37317,239,51
